78/6848, 400.83, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.335', 0.5836168043015298)]
79/6848, 405.0, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.638254445447254)]
80/6848, 409.17, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.788781958599285)]
81/6848, 413.33, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.9250988942197047)]
82/6848, 417.5, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.9892602364337968)]
83/6848, 421.67, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.8226423057674949)]
84/6848, 425.83, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.977621157272681)]
85/6848, 430.0, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.9098742919225925)]
86/6848, 434.17, 195, [([[25, 33], [67, 33], [67, 53], [25, 53]], '0.35', 0.9996607303619385)]
87/6848, 438.33, 195, [([[25, 33], [67, 33], [67, 53], [25, 53]], '0.35', 0.9721027983858006)]
88/6848, 442.5, 195, [([[25, 33], [67, 33], [67, 53], [25, 53]], '6.93', 0.9970394372940063)]
89/6848, 446.67, 195, [([[25, 33], [67, 33], [67, 53], [25, 53]], '6.93', 0.9999012351036072)]
90/6848, 463.33, 195, [([[25, 33], [67, 33], [67, 53], [25, 53]], '6.93', 0.999316930770874)]
91/6848, 471.67, 195, [([[24, 30], [68, 30], [68, 54], [24, 54]], '6.93', 0.9814842343330383)]
92/6848, 475.83, 195, [([[24, 30], [68, 30], [68, 54], [24, 54]], '6.93', 0.8998477209391095)]
93/6848, 480.0, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '6.93', 0.9978637099266052)]
94/6848, 492.92, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '6.93', 0.9978311657905579)]
95/6848, 497.08, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '6.93', 0.9995668530464172)]
96/6848, 501.25, 195, [([[26, 30], [70, 30], [70, 54], [26, 54]], '6.93', 0.7595357765242757)]
97/6848, 505.42, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9996458888053894)]
98/6848, 509.58, 195, [([[25, 31], [69, 31], [69, 51], [25, 51]], '6.93', 0.5096688487976555)]
99/6848, 513.75, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9998534917831421)]
100/6848, 517.92, 195, [([[25, 31], [69, 31], [69, 51], [25, 51]], '6.93', 0.7142901754654772)]
101/6848, 522.08, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.999619722366333)]
102/6848, 530.42, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9998530149459839)]
